EducationOrganizationId,EvaluationPeriodDescriptor,EvaluationTitle,PerformanceEvaluationTitle,PerformanceEvaluationTypeDescriptor,TermDescriptor,AcademicSubjectDescriptor,SchoolYear
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Life and Physical Sciences),Formal Observation (Life and Physical Sciences),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Mathematics),Formal Observation (Mathematics),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Other),Formal Observation (Other),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Other,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,"Formal Observation (Physical, Health, and Safety E","Formal Observation (Physical, Health, and Safety E",uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education",2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Science),Formal Observation (Science),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Science,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Social Sciences and History),Formal Observation (Social Sciences and History),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Social Studies),Formal Observation (Social Studies),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Writing),Formal Observation (Writing),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Writing,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Other,Other,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Eval,uri://ed-fi.org/TermDescriptor#Spring Semester,,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Performance Evaluation,Performance Evaluation,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Eval,uri://ed-fi.org/TermDescriptor#Spring Semester,,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Critical Reading),Summative Observation (Critical Reading),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Critical Reading,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (English Language Arts),Summative Observation (English Language Arts),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (English),Summative Observation (English),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#English,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Fine and Performing Arts),Summative Observation (Fine and Performing Arts),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Foreign Language and Litera,Summative Observation (Foreign Language and Litera,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Life and Physical Sciences),Summative Observation (Life and Physical Sciences),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Mathematics),Summative Observation (Mathematics),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Other),Summative Observation (Other),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Other,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,"Summative Observation (Physical, Health, and Safet","Summative Observation (Physical, Health, and Safet",uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education",2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Science),Summative Observation (Science),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Science,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Social Sciences and History,Summative Observation (Social Sciences and History,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Summative Observation (Social Studies),Summative Observation (Social Studies),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,2017
1,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Summer,Certification Exam,Certification Exam,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Eval,uri://ed-fi.org/TermDescriptor#Summer Semester,,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Certification Exam,Certification Exam,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Eval,uri://ed-fi.org/TermDescriptor#Fall Semester,,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation,Formal Observation,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation (Critical Reading),Formal Observation (Critical Reading),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Critical Reading,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation (English Language Arts),Formal Observation (English Language Arts),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation (English),Formal Observation (English),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#English,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation (Fine and Performing Arts),Formal Observation (Fine and Performing Arts),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation (Mathematics),Formal Observation (Mathematics),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation (Other),Formal Observation (Other),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Other,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation (Science),Formal Observation (Science),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Science,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Formal Observation (Social Studies),Formal Observation (Social Studies),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Other,Other,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Eval,uri://ed-fi.org/TermDescriptor#Fall Semester,,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Performance Evaluation,Performance Evaluation,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Eval,uri://ed-fi.org/TermDescriptor#Fall Semester,,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation,Summative Observation,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation (Critical Reading),Summative Observation (Critical Reading),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Critical Reading,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation (English Language Arts),Summative Observation (English Language Arts),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation (English),Summative Observation (English),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#English,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation (Fine and Performing Arts),Summative Observation (Fine and Performing Arts),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation (Mathematics),Summative Observation (Mathematics),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation (Other),Summative Observation (Other),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Other,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation (Science),Summative Observation (Science),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Science,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Fall,Summative Observation (Social Studies),Summative Observation (Social Studies),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Fall Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Certification Exam,Certification Exam,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Eval,uri://ed-fi.org/TermDescriptor#Spring Semester,,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation,Formal Observation,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Critical Reading),Formal Observation (Critical Reading),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Critical Reading,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (English Language Arts),Formal Observation (English Language Arts),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (English),Formal Observation (English),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#English,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Fine and Performing Arts),Formal Observation (Fine and Performing Arts),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Foreign Language and Literatur,Formal Observation (Foreign Language and Literatur,uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Life and Physical Sciences),Formal Observation (Life and Physical Sciences),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Mathematics),Formal Observation (Mathematics),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Other),Formal Observation (Other),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Other,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,"Formal Observation (Physical, Health, and Safety E","Formal Observation (Physical, Health, and Safety E",uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education",2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Science),Formal Observation (Science),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Science,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Social Sciences and History),Formal Observation (Social Sciences and History),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History,2017
2,uri://tpdm.ed-fi.org/EvaluationPeriodDescriptor#Spring,Formal Observation (Social Studies),Formal Observation (Social Studies),uri://tpdm.ed-fi.org/PerformanceEvaluationTypeDescriptor#Formal Obs,uri://ed-fi.org/TermDescriptor#Spring Semester,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,2017
